2025-11-17 16:53:58 | asda | encontrado: no
2025-11-17 16:54:07 | TheGamer2024 | encontrado: sí
2025-11-17 16:57:56 | LunaGamer | encontrado: sí
2025-11-17 17:00:38 | LunaGamer | encontrado: sí
2025-11-17 17:04:24 | LunaGamer | encontrado: sí
2025-11-17 17:04:55 | LunaGamer | encontrado: sí
2025-11-17 17:05:21 | LunaGamer | encontrado: sí
2025-11-17 17:05:29 | LunaGamer | encontrado: sí
2025-11-17 17:10:23 | LunaGamer | encontrado: sí
2025-11-17 17:10:29 | asda | encontrado: no
2025-11-17 17:10:31 | UltraNova | encontrado: sí
2025-11-17 17:11:04 | UltraNova | encontrado: sí
2025-11-17 17:11:13 | UltraNova | encontrado: sí
2025-11-17 17:12:43 | UltraNova | encontrado: sí
2025-11-17 17:30:38 | asda | encontrado: no
2025-11-17 17:30:44 | TheGamer2024 | encontrado: sí
2025-11-17 17:56:24 | LegendKiller2024 | encontrado: sí
2025-11-17 17:58:06 | LegendKiller2024 | encontrado: no
2025-11-17 17:58:10 | LegendKiller2024 | encontrado: no
2025-11-17 18:02:26 | LegendKiller2024 | encontrado: no
2025-11-17 18:02:45 | UltraNova | encontrado: sí
2025-11-17 18:02:59 | UltraNova | encontrado: sí
2025-11-17 18:05:31 | UltraNova | encontrado: sí
2025-11-17 18:06:00 | UltraNova | encontrado: sí
2025-11-17 18:06:23 | UltraNova | encontrado: sí
2025-11-17 18:13:58 | asda | encontrado: no
2025-11-17 18:43:51 | UltraNova | encontrado: sí
2025-11-17 19:04:55 | UltraNova | encontrado: sí
2025-11-17 19:04:57 | UltraNova | encontrado: sí
2025-11-17 19:05:05 | LegendKiller2024 | encontrado: no
2025-11-17 19:05:08 | LunaGamer | encontrado: sí
